05/05/2021,Precios industriales, UEM,Marzo,"1,5%                ","4,2%                ", 
05/05/2021,ADP cambio empleo, EEUU,Abril,517.000             ,800.000             , 
05/05/2021,PMI Servicios, EEUU,Abril,"63,1                ", , 
05/05/2021,ISM no manufacturero, EEUU,Abril,"63,7                ","64,3                ", 
05/05/2021,IPC final, Suiza,Abril,"-0,2%               ","0,3%                ", 
05/05/2021,PMI Servicios, España,Abril,"48,1                ","50,0                ", 
05/05/2021,PMI Servicios, Italia,Abril,"48,6                ","49,8                ", 
05/05/2021,PMI Servicios, Francia,Abril,"50,4                ","50,4                ", 
05/05/2021,PMI Servicios, Alemania,Abril,"50,1                ","50,1                ", 
05/05/2021,PMI Servicios, UEM,Abril,"50,3                ","50,3                ", 
07/05/2021,PMI Servicios, Japón,Abril,"48,3                ", ,"49,5                "
07/05/2021,PMI Servicios, China,Abril,"54,3                ", ,"56,3                "
07/05/2021,Tasa de desempleo, Suiza,Abril,"3,3%                ","3,3%                ","3,1%                "
07/05/2021,Producción Industrial, Alemania,Marzo,"-6,67% (r)          ", ,"4,87%               "
07/05/2021,Balanza comercial, Alemania,Marzo,18.900M             ,19.500M             ,14.300M             
07/05/2021,Balanza cuenta corriente, Alemania,Marzo,18.800M             , ,30.200M             
07/05/2021,Balanza cuenta corriente, Francia,Marzo,-6.858M             , ,-5.230M             
07/05/2021,Producción Industrial, Francia,Marzo,"-4,8% (r)           ","2,0%                ","0,8%                "
07/05/2021,Balanza comercial, Francia,Marzo,-5.140M (r)         , ,-6.070M             
07/05/2021,Producción Industrial, España,Marzo,"-2,3% (r)           ","12,1%               ","12,4%               "
07/05/2021,Ventas al por menor, Italia,Marzo,"-5,7%               ", ,"22,90%              "
07/05/2021,Nóminas no agricolas, EEUU,Abril,770.000 (r)         ,978.000             ,266.000             
07/05/2021,Nóminas privadas, EEUU,Abril,708.000 (r)         ,893.000             ,218.000             
07/05/2021,Nóminas manufactureras, EEUU,Abril,54.000 (r)          ,55.000              ,-18.000             
07/05/2021,Tasa de desempleo, EEUU,Abril,"6,0%                ","5,8%                ","6,1%                "
07/05/2021,Salario promedio hora, EEUU,Abril,"4,2%                ","-0,4%               ","0,3%                "
07/05/2021,Balanza comercial, China,Abril,13.800M             ,28.100M             ,42.860M             
